,클래스ID,강의시작일,강의종료일,강사명,담당 매니저,강사 구분,언어(수업),총지급 강사료,클래스 수업료,class 종류,장소
1174,kezScehX,2023-03-11,2023-05-03,최지아,조유진,Korean,일본어,"600,000","1,128,000",Group,"전남 나주시 전력로 55 (빛가람동, 한국전력공사)"
1175,LanpghET,2023-03-05,2023-06-20,최지아,조유진,Korean,일본어,"550,000","1,045,000",Group,"전남 나주시 빛가람로 661 (빛가람동, 한전KDN(주)), Passion룸(202호)"
1176,X2WEyAzb,2023-02-21,2023-05-23,윤민윤,최현우,Korean,영어,"495,000","880,000",1:1 (임원),"경북 김천시 다수동 500, 케이티엔지 김천지점, 사무동(청사건물) 공장장실(3층)"
1177,jKEiasfi,2023-01-14,2023-04-03,문예우,송예은,Korean,영어,"234,000","474,000",Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1178,vQnvA26E,2023-04-17,2023-07-10,문예우,송예은,Korean,영어,"117,000",0,Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1179,lxJw6Lbe,2023-04-18,2023-04-25,문예우,송예은,Korean,영어,"58,500","118,500",Group,부산 기장군 정관읍 정관중앙로 100 (방곡리)
1180,y0PoMQeE,2023-04-11,2023-06-29,서아서,유예준,Korean,영어,0,0,Group,
1181,kntLJNlU,2023-04-11,2023-06-29,서아서,유예준,Korean,영어,0,0,Group,
1182,1bUoBCCe,2023-04-11,2023-06-29,서아서,유예준,Korean,영어,0,0,Group,
1183,xBuCc23a,2023-04-11,2023-06-29,서아서,유예준,Korean,영어,0,0,Group,
1184,5cVHR8vu,2023-04-11,2023-06-29,서아서,유예준,Korean,영어,0,0,Group,
1185,JALdJ15l,2023-01-30,2023-06-29,서아서,유예준,Korean,영어,0,0,Group,
1186,ZZqF3kzM,2023-01-30,2023-06-29,서아서,유예준,Korean,영어,0,0,Group,
1187,3NIGOujY,2023-01-30,2023-06-29,서아서,유예준,Korean,영어,0,0,Group,
1188,tJ3PtvDA,2023-01-30,2023-06-29,서아서,유예준,Korean,영어,0,0,Group,
1189,fSov6i87,2023-03-01,2023-05-17,송민민,조태현,Korean,영어,"90,000","165,120",1:1 (임원),"전북 전주시 덕진구 기지로 170 (만성동, 국민연금공단 기금운용본부)"
1190,NxOSbFCJ,2023-01-28,2023-06-29,강호수,유예준,Korean,영어,0,0,Group,
1191,VZHJF1AI,2023-01-28,2023-06-29,강호수,유예준,Korean,영어,0,0,Group,
1192,L2OOFM5I,2023-01-28,2023-06-29,강호수,유예준,Korean,영어,0,0,Group,
1193,ycqH3n2K,2023-01-28,2023-06-29,강호수,유예준,Korean,영어,0,0,Group,
1194,EPTqg4dV,2023-01-28,2023-06-29,강호수,유예준,Korean,영어,0,0,Group,
1195,SajpE3uR,2023-01-28,2023-06-29,강호수,유예준,Korean,영어,0,0,Group,
1196,11WMHn17,2023-01-28,2023-06-29,강호수,유예준,Korean,영어,0,0,Group,
1197,qiiEpNu7,2023-01-28,2023-06-29,강호수,유예준,Korean,영어,0,0,Group,
1198,k3wNT5JT,2023-01-28,2023-06-29,강호수,유예준,Korean,영어,0,0,Group,
1199,LqyaQv5E,2023-03-27,2023-06-22,장우후,한예원,Korean,영어,"140,000","278,000",Group,"경기 성남시 분당구 분당내곡로 117 (백현동, 크래프톤타워)"
1200,CMqpJiFd,2023-03-24,2023-06-22,장우후,한예원,Korean,영어,"420,000","834,000",Group,"경기 성남시 분당구 분당내곡로 117 (백현동, 크래프톤타워)"
1201,CiikqSiM,2023-01-19,2023-07-23,서민준,최현우,Korean,영어,"315,000","715,998",Language lab,"경남 창원시 마산회원구 내서읍 중리공단로 187 (중리, 동아제약)"
1202,k7Zx4NCc,2023-02-11,2023-05-09,임아현,최은우,F2/F5/F6,일본어,"360,000","846,000",Group,"경남 김해시 김해대로 2399 (부원동, 한국전력공사김해지점)"
1203,fgKcRneC,2023-03-25,2023-06-17,정민성,장은우,Korean,중국어,"315,000","720,000",Group,"대전 유성구 문지로 188 (문지동, LG화학기술연구원)"
1204,obitMKiq,2023-03-25,2023-06-20,정민성,장은우,Korean,중국어,"245,000","560,000",Group,"대전 유성구 문지로 188 (문지동, LG화학기술연구원)"
1205,wSpIHgAU,2023-04-15,2023-06-10,최준채,박지후,Korean,영어,"141,000","180,000",Group,
1206,4pBGEO3v,2023-03-12,2023-05-23,송아서,강태윤,Korean,영어,"357,000","840,000",1:1 (임원),"강원 춘천시 남춘로5번길 23 (퇴계동, KT&G강원본부)"
1207,M38nrt1A,2023-02-21,2023-07-23,서성아,박지후,Korean,영어,"350,000","900,000",1:1 (임원),경기 하남시 위례대로4길 29 (학암동)
1208,uKbiqNfP,2023-02-22,2023-07-23,서성아,박지후,Korean,영어,"375,000","990,000",Group,경기 하남시 위례대로4길 29 (학암동)
1209,OSOFpmq5,2023-01-23,2023-07-23,서성아,윤재현,Korean,영어,"280,000",0,1:1 (임원),"경기 수원시 영통구 봉영로 1540 (영통동, 살구마을아파트)"
1210,UGxoyrss,2022-10-03,2023-07-23,황은윤,이도윤,Korean,영어,"200,000","380,000",Co-Active Learning,"경기 화성시 삼성전자로 1 (반월동, 삼성전자(주))"
1211,WEqMNy1j,2022-09-03,2023-04-23,강준서,장은서,F2/F5/F6,영어,"405,000","684,000",Co-Active Learning,경기 화성시 삼성전자로 1-1 (반월동)
1212,2K0t8YDj,2022-08-07,2023-04-22,강준서,장은서,F2/F5/F6,영어,"270,000","456,000",Co-Active Learning,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
1213,deDbGAKd,2023-03-18,2023-03-27,강준서,강민성,F2/F5/F6,영어,"45,000","100,000",1:1 (임원),경기 성남시 분당구 판교로319번길 6 (삼평동)
1214,deDbGAKd,2023-03-27,2023-04-22,강준서,강민성,F2/F5/F6,영어,"472,500","1,050,000",1:1 (임원),경기 성남시 분당구 판교로319번길 6 (삼평동)
1215,EPSxTtGU,2023-02-26,2023-07-23,황준은,이재민,Korean,일본어,"231,000","486,500",Group,"경기 성남시 분당구 불정로 6 (정자동, 그린팩토리)"
1216,MQ0tPbmW,2023-01-28,2023-04-04,황준은,이서윤,Korean,일본어,"142,000","340,000",Group,"서울 강남구 테헤란로 521 (삼성동, 파르나스타워)"
1217,tafO7PUF,2023-01-28,2023-06-29,송아수,유예준,Korean,영어,0,0,Group,
1218,zw7aWI70,2023-01-28,2023-06-29,송아수,유예준,Korean,영어,0,0,Group,
1219,V2wiIi0r,2023-01-28,2023-06-29,송아수,유예준,Korean,영어,0,0,Group,
1220,X3vAgfB6,2023-01-28,2023-06-29,송아수,유예준,Korean,영어,0,0,Group,
1221,ZjBjZSMw,2023-01-28,2023-06-29,송아수,유예준,Korean,영어,0,0,Group,
1222,P6y8uTXJ,2023-02-06,2023-05-07,서서준,문지후,Korean,영어,"540,000","1,120,500",Group,"강원 춘천시 수풍골길 7 (후평동, 한국전력공사 강원지사)"
1223,XvoHKDHG,2023-02-04,2023-05-07,송준준,최현우,F2/F5/F6,중국어,"504,000","960,000",Group,"경남 창원시 의창구 신월동 99-1, 한국전력공사 경남본부직할, 3층 전력관리처 회의실"
1224,hkL9WxX9,2023-01-28,2023-06-29,이현우,유예준,Korean,영어,0,0,Group,
1225,agDqv3R1,2023-01-28,2023-06-29,이현우,유예준,Korean,영어,0,0,Group,
1226,5H8V1LCF,2023-01-28,2023-06-29,이현우,유예준,Korean,영어,0,0,Group,
1227,ECRU7ODT,2023-01-28,2023-06-29,이현우,유예준,Korean,영어,0,0,Group,
1228,2LNScdDc,2023-01-28,2023-06-29,이현우,유예준,Korean,영어,0,0,Group,
1229,BK1jnfRw,2023-01-28,2023-06-29,이현우,유예준,Korean,영어,0,0,Group,
1230,N3gxDW1l,2023-01-28,2023-06-29,이현우,유예준,Korean,영어,0,0,Group,
1231,M3Cn4jAU,2023-01-28,2023-06-29,이현우,유예준,Korean,영어,0,0,Group,
1232,Zahzhwc1,2023-01-28,2023-06-29,이현우,유예준,Korean,영어,0,0,Group,
1233,NV24xaJq,2023-01-28,2023-06-29,한서우,유예준,Korean,영어,0,0,Group,
1234,s6DLJLmN,2023-01-28,2023-06-29,한서우,유예준,Korean,영어,0,0,Group,
1235,8w73nIOJ,2023-01-28,2023-06-29,한서우,유예준,Korean,영어,0,0,Group,
1236,SrnyZz29,2023-01-28,2023-06-29,한서우,유예준,Korean,영어,0,0,Group,
1237,r5yaMrAJ,2023-02-21,2023-05-23,박아채,김민준,Korean,일본어,"245,000","600,000",1:1 (임원),"서울 강서구 마곡동로 62 (마곡동, 마곡사이언스타워)"
1238,GZO1dRym,2023-04-11,2023-07-04,서아수,박지후,F2/F5/F6,영어,"150,000","300,000",Group,서울 강남구 영동대로 517
1239,KchM9c7E,2022-07-24,2023-04-29,서아수,정다인,F2/F5/F6,영어,"200,000","352,000",1:1 (임원),
1240,vz9Rfs0X,2023-04-09,2023-07-23,서아수,강태윤,F2/F5/F6,영어,"100,000","200,000",Group,"서울 강남구 영동대로 517 (삼성동, 아셈타워)"
1241,ozpqqGHW,2023-04-18,2023-04-18,서민지,유하늘,F4,영어,0,0,특강,"경남 창원시 성산구 적현로 259 (신촌동, 두산메카텍(주))"
1242,Fu4oZi23,2023-04-17,2023-04-17,서민지,유하늘,F4,영어,0,0,특강,경남 창원시 성산구 완암로 171 (내동)
1243,aJxOPbHT,2023-04-16,2023-04-16,서민지,장은서,F4,영어,0,"5,400,000",신입사원교육,"서울 강남구 강남대로 298 (역삼동, 푸르덴셜타워)"
1244,GbFftzLW,2023-04-12,2023-04-15,서민지,문다온,F4,영어,0,"225,000",interview,"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
1245,5DvbBMDR,2023-03-25,2023-04-03,서민지,서민지,F4,영어,0,"7,040,000",Intensive,"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
1246,xgy8zPwu,2023-02-05,2023-04-22,김채민,윤지민,F2/F5/F6,영어,"250,000","450,000",1:1 (임원),"대전 유성구 문지로 188 (문지동, LG화학기술연구원)"
1247,1p5cqVeh,2023-01-21,2023-04-22,김채민,유연서,F2/F5/F6,영어,"3,000,000","4,700,000",상주,"대전 대덕구 대덕대로1277번길 90 (문평동, 유한킴벌리(주)대전공장)"
1248,9ibvq7hm,2023-04-15,2023-06-17,김채민,윤지민,F2/F5/F6,영어,"300,000","753,258",Group,"세종특별자치시 다솜2로 94 (어진동, 정부세종청사)"
1249,rhcWa28K,2023-04-15,2023-06-25,김채민,윤지민,F2/F5/F6,영어,"150,000","376,628",Group,"세종특별자치시 다솜2로 94 (어진동, 정부세종청사)"
1250,pGvnH5u4,2023-04-15,2023-07-07,오채호,한승현,F4,중국어,"165,000","400,000",Group,"충남 천안시 서북구 번영로 467 (성성동, 삼성SDI(주))"
1251,RxP9skUR,2023-01-21,2023-06-22,서도호,오준희,Korean,영어,"80,000","255,000",1:1 (임원),경기 화성시 삼성1로5길 5 (석우동)
1252,ixwjyAbT,2023-02-19,2023-06-20,서도호,황준영,Korean,영어,"360,000","765,000",Group,경기 용인시 수지구 포은대로59번길 18 (상현동)
1253,RgbVaVdq,2023-04-08,2023-06-27,서도호,강시우,Korean,영어,"360,000","675,000",Group,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
1254,3HONGNci,2022-07-26,2023-07-23,서도호,이도윤,Korean,영어,"320,000","608,000",Co-Active Learning,경기 화성시 삼성전자로 1-1 (반월동)
1255,1k38PmLE,2023-04-10,2023-07-12,임지은,조태현,Korean,영어,"260,000","328,000",Language lab,"충북 증평군 증평읍 두산로 40 (용강리, 두산전자(주))"
1256,oAPsDEgE,2023-04-15,2023-06-24,임지은,윤지민,Korean,영어,"210,000","564,942",Group,"세종특별자치시 다솜2로 94 (어진동, 정부세종청사)"
1257,w42cmbCI,2023-04-15,2023-06-25,임지은,윤지민,Korean,영어,"210,000","564,942",Group,"세종특별자치시 다솜2로 94 (어진동, 정부세종청사)"
1258,nvqKZg1r,2023-02-04,2023-03-27,임지은,조태현,Korean,영어,"130,000","166,000",Group,"충북 보은군 보은읍 장신로 40 (장신리, 한국전력공사보은지사)"
1259,sldjjAxd,2023-03-22,2023-07-23,조민준,김서진,F2/F5/F6,중국어,"160,000","260,000",1:1 (임원),"충북 청주시 흥덕구 에스케이로 120 (외북동, SK하이닉스)"
1260,3W9W2BNL,2023-02-04,2023-04-19,조민준,한채원,F2/F5/F6,중국어,"560,000","910,000",Group,"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
1261,gblw4Yfg,2023-01-14,2023-04-03,송수아,송예은,F2/F5/F6,중국어,"216,000","474,000",Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1262,XZooGKSf,2023-01-10,2023-04-09,송수아,송예은,F2/F5/F6,중국어,"216,000","474,000",Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1263,znBqZvk4,2023-01-10,2023-04-09,송수아,송예은,F2/F5/F6,중국어,"216,000","474,000",Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1264,yzcZU9Bu,2023-01-10,2023-04-09,송수아,송예은,F2/F5/F6,중국어,"216,000","474,000",Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1265,n5S3sKrh,2023-04-17,2023-07-10,송수아,송예은,F2/F5/F6,중국어,"108,000",0,Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1266,OXuN8bmF,2023-04-18,2023-07-11,송수아,송예은,F2/F5/F6,중국어,"54,000",0,Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1267,JLBOgOs3,2023-04-18,2023-07-11,송수아,송예은,F2/F5/F6,중국어,"54,000",0,Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1268,eEVvM6P3,2023-04-18,2023-07-11,송수아,송예은,F2/F5/F6,중국어,"54,000",0,Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1269,jPsCCJdk,2023-04-18,2023-06-27,강아채,조태현,Korean,영어,"105,000","299,298",Group,"대전 서구 둔산중로78번길 15 (둔산동, 대전지방검찰청)"
1270,OVFXJyag,2023-01-28,2023-06-29,윤지성,유예준,,영어,0,0,Group,
1271,t5lIGD7L,2023-01-28,2023-06-29,윤지성,유예준,,영어,0,0,Group,
1272,xakACdQe,2023-01-28,2023-06-29,윤지성,유예준,,영어,0,0,Group,
1273,9d0rmDFU,2023-01-28,2023-06-29,윤지성,유예준,,영어,0,0,Group,
1274,fApk3kuo,2023-03-25,2023-06-17,송민윤,장은우,F2/F5/F6,중국어,"360,000","765,000",Group,"대전 유성구 문지로 188 (문지동, LG화학기술연구원)"
1275,NGcADnv6,2023-04-20,2023-06-22,송민윤,윤지민,F2/F5/F6,중국어,"120,000","376,629",Group,"세종특별자치시 한누리대로 253 (나성동, 에스빌딩)"
1276,Km0XgHcq,2023-04-15,2023-06-24,송민윤,윤지민,F2/F5/F6,중국어,"180,000","564,942",Group,"세종특별자치시 다솜2로 94 (어진동, 정부세종청사)"
1277,bZmggsJS,2023-04-22,2023-07-15,김수우,황준영,Korean,영어,"35,000","60,000",Group,"경기 의정부시 청사로 1 (신곡동, 경기도청 북부청사)"
1278,poDYUQpf,2023-04-15,2023-04-19,임준하,이도윤,Korean,영어,"1,200,000","2,280,000",Intensive,경기 용인시 기흥구 삼성로 1 (농서동)
1279,0ENfeCqf,2023-03-25,2023-04-12,임준하,이도윤,Korean,영어,"3,600,000","6,840,000",Intensive,경기 용인시 기흥구 삼성로 1 (농서동)
1280,ZiIBjukZ,2023-02-04,2023-04-19,김지우,한채원,F2/F5/F6,중국어,"570,000","780,000",Group,"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
1281,xo8RJAIe,2023-02-04,2023-04-19,김지우,한채원,F2/F5/F6,중국어,"475,000","650,000",Group,"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
1282,w6FsMcL6,2023-01-21,2023-07-23,강호아,장태양,Korean,영어,"850,000","1,615,000",Language lab,경남 김해시 주촌면 골든루트로129번길 19 (농소리)
1283,1SeUu3pD,2023-02-11,2023-05-07,이아윤,최은우,F2/F5/F6,중국어,"480,000","960,000",Group,"부산 서구 보수대로 21 (토성동1가, 한국전력공사남부건설본부)"
1284,Tq7rvjNB,2023-02-25,2023-05-17,유아아,조서우,,중국어,"360,000","738,000",Group,"부산 사하구 다대로 지하 230 (장림동, 장림역)"
1285,bILLJMmY,2023-02-04,2023-05-09,유준준,조태현,Korean,영어,"511,000","996,000",Group,"충북 청주시 서원구 구룡산로 51 (성화동, 한국전력공사 충북지역본부)"
1286,F5eYOr5s,2023-02-18,2023-06-17,윤하예,황준영,Korean,영어,"456,750","892,500",Group,"경기 광명시 하안로 108 (소하동, 에이스 광명타워) 9층 가온누리"
1287,sVovT5R5,2022-12-24,2023-05-23,윤하예,서민지,Korean,영어,"200,000","325,000",1:1 (임원),
1288,sr2lg2BC,2023-04-15,2023-07-10,윤하예,윤다혜,Korean,영어,"90,000","187,500",Group,
1289,ucVZWIoF,2023-04-15,2023-07-10,윤하예,윤다혜,Korean,영어,"90,000","187,500",Group,
1290,71bAZNrz,2023-04-15,2023-07-10,윤하예,윤다혜,Korean,영어,"90,000","187,500",Group,
1291,oGdreXWx,2023-04-15,2023-07-10,윤하예,윤다혜,Korean,영어,"105,000","187,500",Group,
1292,gVyCLcxN,2023-04-15,2023-07-10,윤하예,윤다혜,Korean,영어,"90,000","187,500",Group,
1293,KwjgjhMD,2023-04-15,2023-07-10,윤하예,윤다혜,Korean,영어,"90,000","187,500",Group,
1294,RTxis1zR,2023-04-16,2023-07-11,윤하예,서예린,Korean,영어,"60,000","125,000",Group,
1295,AMakTsqj,2023-04-16,2023-07-11,윤하예,서예린,Korean,영어,"60,000","125,000",Group,
1296,q5Zrx3vt,2023-04-16,2023-07-11,윤하예,서예린,Korean,영어,"60,000","125,000",Group,
1297,bGiqk9XI,2023-04-16,2023-07-11,윤하예,서예린,Korean,영어,"70,000","125,000",Group,
1298,2nXnm9Sh,2023-04-16,2023-07-11,윤하예,서예린,Korean,영어,"60,000","125,000",Group,
1299,PyXDKZFC,2023-04-16,2023-07-11,윤하예,서예린,Korean,영어,"60,000","125,000",Group,
1300,2eJ8nLWg,2023-04-09,2023-07-23,김은민,서민지,F2/F5/F6,영어,"200,000","392,000",Language lab,"경기 용인시 기흥구 금화로105번길 21 (상갈동, 동아제약)"
1301,U1tw5fxt,2023-01-22,2023-07-23,김은민,서민지,F2/F5/F6,영어,"300,000","588,000",Language lab,"경기 용인시 기흥구 금화로105번길 21 (상갈동, 동아제약)"
1302,DwVIVbVN,2022-07-24,2023-07-23,김은민,강주원,F2/F5/F6,영어,"100,000","200,000",Group,경기도 성남시 분당구 대왕판교로644번길 49 4층 코리아벤처타운 다산타워 4층
1303,Xdx1uDEs,2023-03-18,2023-06-21,박민원,강민성,F4,영어,"120,000","240,000",Language lab,DHK빌딩 7층
1304,aetf7eT7,2023-03-18,2023-06-21,박민원,강민성,F4,영어,"140,000","280,000",Language lab,
1305,E2vnmJnp,2023-03-18,2023-06-21,박민원,강민성,F4,영어,"200,000","400,000",Language lab,월 11:30-12:00/ 금12:30-13:00
1306,v9QVSUL4,2023-03-18,2023-06-21,박민원,강민성,F4,영어,"120,000","240,000",Language lab,
1307,010kzfpw,2023-03-18,2023-06-21,박민원,강민성,F4,영어,"160,000","320,000",Language lab,
1308,vWFj6OFx,2023-03-18,2023-06-21,박민원,강민성,F4,영어,"120,000","240,000",Language lab,
1309,4CLZtZ9r,2023-03-18,2023-06-21,박민원,강민성,F4,영어,"160,000","320,000",Language lab,경기 성남시 분당구 판교로255번길 28 (삼평동)
1310,oBrPBBAB,2023-01-28,2023-08-23,박민원,강민성,F4,영어,"280,000","525,000",1:1 (임원),경기 성남시 분당구 판교로255번길 24 (삼평동)
1311,ilh2RUii,2023-02-21,2023-09-13,문은준,박수호,F2/F5/F6,영어,"180,000","400,000",1:1 (임원),"경기 부천시 수도로 90 (도당동, (주)동부하이텍 반도체부분 부천공장)"
1312,TmMuLdLM,2023-02-21,2023-09-13,문은준,박수호,F2/F5/F6,영어,"180,000","400,000",1:1 (임원),"경기 부천시 수도로 90 (도당동, (주)동부하이텍 반도체부분 부천공장)"
1313,kzUGbogt,2023-02-26,2023-07-23,문은준,송민재,F2/F5/F6,영어,"170,000","400,000",1:1 (임원),"서울 용산구 한강대로71길 4 (갈월동, (주)한진중공업)"
1314,Zrwj0WMJ,2023-02-25,2023-07-23,문은준,유하늘,F2/F5/F6,영어,"225,000","475,000",1:1 (임원),서울 종로구 우정국로 26 (공평동)
1315,OgLI6lma,2023-03-29,2023-09-20,문은준,황수현,F2/F5/F6,영어,"180,000","400,000",Co-Active Learning,"서울 영등포구 63로 50 (여의도동, 63한화생명빌딩)"
1316,oC9EdFPK,2023-01-21,2023-07-23,김성하,황수현,Korean,스페인어,"350,000","1,000,000",Group,서울 동대문구 천호대로 64 (용두동)
1317,GEEuUHSw,2023-03-24,2023-04-22,황아아,유예준,F2/F5/F6,영어,0,"3,522,727",기타,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)"
1318,u5dxPFne,2023-02-05,2023-05-03,윤후채,최은우,F2/F5/F6,영어,"500,000","830,000",Group,제주특별자치도 서귀포시 남원읍 태위로 648 (남원리)
1319,egfjgTwM,2023-04-08,2023-06-06,조후은,강혜린,F4,영어,"360,000","680,000",Group,"경기 이천시 부발읍 경충대로 2091 (아미리, 에스케이하이닉스)"
1320,JBHNDKON,2023-01-22,2023-04-11,황은민,최은우,Korean,영어,"200,000","425,000",Group,울산 센트랄 2층 회의실
1321,K3P4l3OE,2023-04-15,2023-07-23,황은민,최은우,Korean,영어,"120,000","360,000",1:1 (임원),"울산 동구 고늘로 77 (일산동, 현대건설기계)"
1322,6R1XuDdy,2023-03-25,2023-06-21,장민하,유연서,,영어,"4,135,700","5,000,000",상주,"충남 서산시 대산읍 평신2로 26 (화곡리, 현대오일뱅크사원연립주택)"
1323,1OjlSdwS,2022-07-24,2023-07-23,장민하,정유나,,영어,"200,000","425,000",1:1 (임원),
1324,Pk5kKNXl,2023-04-09,2023-07-11,정아예,유하늘,Korean,영어,"399,996","842,664",Language lab,"경기 용인시 수지구 수지로112번길 10 (성복동, (주)두산)"
1325,5yKDnZpJ,2022-12-25,2023-07-23,정아예,이재민,Korean,영어,"576,000","1,112,000",Group,"경기 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지)"
1326,qHMRhbX9,2023-01-12,2023-03-30,박윤서,송예은,Korean,영어,"95,000","197,500",Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1327,EbDJoBqC,2023-04-20,2023-07-06,박윤서,송예은,Korean,영어,"95,000",0,Group,"부산 기장군 기장읍 기장대로 560 (신천리, 기장군청)"
1328,5ZeV3Ys3,2023-01-14,2023-04-03,박윤서,송예은,Korean,영어,"228,000","474,000",Group,부산 기장군 정관읍 정관중앙로 100 (방곡리)
1329,rdT7cjFi,2023-03-18,2023-04-11,박윤서,조서우,Korean,영어,0,"6,995,000",Language lab,경북 경주시 양남면 나아1길 10 (나아리)
1330,wkWNa4e2,2023-04-11,2023-06-14,박윤서,조서우,Korean,영어,0,0,Language lab,경북 경주시 양남면 나아1길 10 (나아리)
1331,OMGGCB9o,2023-03-29,2023-07-12,정후아,윤지민,Etc,영어,"660,000","1,620,000",Group,한국수자원공사연수원 (소재지: 대전 유성구 유성대로1689번길 125 수자원연구원)
1332,FNLChkl6,2023-02-05,2023-05-03,유서윤,문지후,Korean,영어,"440,000","913,000",Group,"서울 영등포구 문래북로 66 (문래동3가, 한국전력공사)"
1333,u5HkY4Qd,2023-02-04,2023-04-24,유서윤,문지후,Korean,영어,"540,000","1,120,500",Group,"서울 중구 남대문로 92 (을지로2가, 한국전력공사)"
1334,Wuq2QUln,2020-08-26,2023-10-22,유지은,서민지,F2/F5/F6,영어,"250,000","490,000",1:1 (임원),
1335,OtuQd2ss,2023-04-12,2023-05-08,윤아지,오준희,F2/F5/F6,영어,"92,000","210,000",Co-Active Learning,"경기 성남시 분당구 황새울로360번길 42 (서현동, AK플라자)"
1336,7tmRjTdj,2023-02-16,2023-07-23,윤아지,오준희,F2/F5/F6,영어,"276,000","630,000",1:1 (임원),"경기 성남시 분당구 황새울로360번길 42 (서현동, AK플라자)"
1337,92HOGepO,2023-03-19,2024-07-23,윤아지,박하은,F2/F5/F6,영어,"414,000","900,000",1:1 (임원),"서울 서초구 서초대로74길 11 (서초동, 삼성전자빌딩)"
1338,r6j91bIq,2023-03-20,2023-09-19,윤아지,서지훈,F2/F5/F6,영어,"138,000","330,000",1:1 (임원),"경기 성남시 분당구 판교역로 220 (삼평동, 쏠리테크)"
1339,CIiQoZ1E,2023-02-22,2023-04-23,윤아지,이서윤,F2/F5/F6,영어,"276,000","600,000",1:1 (임원),"서울 강남구 테헤란로 521 (삼성동, 파르나스타워)"
1340,Kk6GWWqq,2023-03-12,2023-05-23,윤아지,강태윤,F2/F5/F6,영어,"345,000","712,500",1:1 (임원),"서울 강남구 영동대로 416 (대치동, 케이티앤지 타워)"
1341,Q3xjtd9b,2023-01-28,2023-03-28,한서준,황수현,F2/F5/F6,영어,"50,000","98,000",Language lab,서울 동대문구 천호대로 64 (용두동)
1342,Q3xjtd9b,2023-03-28,2023-07-23,한서준,황수현,F2/F5/F6,영어,"365,500","780,000",Language lab,서울 동대문구 천호대로 64 (용두동)
1343,Vfo6phbz,2023-04-13,2023-04-13,황채후,황수현,F2/F5/F6,영어,"200,000","600,000",Intensive,"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
1344,KHUY8X45,2023-03-28,2023-06-27,황채후,오지민,F2/F5/F6,영어,"235,000","400,000",Group,"경기 과천시 장군마을3길 36 (주암동, LG화학 과천R&D캠퍼스)"
1345,NS8RSPck,2023-04-17,2023-06-12,이예은,황준영,F2/F5/F6,영어,"100,000","220,000",Group,"서울 구로구 디지털로31길 12 (구로동, 태평양물산)"
1346,MgDnD0Gh,2023-03-14,2024-01-21,조지채,박하은,F2/F5/F6,영어,"376,000","800,000",1:1 (임원),
1347,zyA2372P,2023-03-18,2023-06-21,조지채,강민성,F2/F5/F6,영어,"141,000","285,000",Language lab,
1348,VcyX1ViG,2022-10-24,2023-07-06,장도민,오재윤,F2/F5/F6,영어,"400,000","680,000",1:1 (임원),"경기 성남시 분당구 성남대로343번길 9 (정자동, 에스케이유타워)"
1349,CtgKFZ8U,2022-08-06,2023-07-23,장도민,오재윤,F2/F5/F6,영어,"400,000","680,000",1:1 (임원),"경기 성남시 분당구 성남대로343번길 9 (정자동, 에스케이유타워)"
1350,kyZmZFHA,2023-02-26,2023-07-23,박민민,장은서,F2/F5/F6,영어,"200,000","304,000",Co-Active Learning,"경기 화성시 삼성전자로 1 (반월동, 삼성전자(주))"
1351,nttYUdi3,2022-09-11,2023-07-23,조수하,장은서,F2/F5/F6,영어,"329,000","532,000",Co-Active Learning,"경기 화성시 삼성전자로 1 (반월동, 삼성전자(주))"
1352,xIWsZzP6,2023-04-08,2023-07-05,김우예,서민지,F2/F5/F6,영어,"300,000","600,000",Language lab,"인천 연수구 첨단대로 107 (송도동, 삼성바이오에피스(주))"
1353,QIbuXWKt,2023-04-08,2023-07-05,김우예,서민지,F2/F5/F6,영어,"200,000","400,000",Language lab,"인천 연수구 첨단대로 107 (송도동, 삼성바이오에피스(주))"
1354,mnaSjpDo,2023-04-08,2023-07-05,김우예,서민지,F2/F5/F6,영어,"200,000","400,000",Language lab,"인천 연수구 첨단대로 107 (송도동, 삼성바이오에피스(주))"
